r;Sigma
0.002681;0.3477
0.008045;0.3477
0.01341;0.3476
0.01877;0.3475
0.02414;0.3473
0.02951;0.3471
0.03487;0.3469
0.04025;0.3466
0.04562;0.3463
0.051;0.3459
0.05637;0.3455
0.06176;0.3451
0.06714;0.3446
0.07253;0.3441
0.07793;0.3435
0.08333;0.3429
0.08873;0.3423
0.09414;0.3416
0.09955;0.3409
0.105;0.3402
0.1104;0.3394
0.1158;0.3386
0.1213;0.3377
0.1267;0.3368
0.1322;0.3359
0.1376;0.3349
0.1431;0.3339
0.1486;0.3329
0.1541;0.3318
0.1596;0.3307
0.1651;0.3296
0.1706;0.3284
0.1761;0.3272
0.1817;0.326
0.1872;0.3247
0.1928;0.3234
0.1983;0.322
0.2039;0.3207
0.2095;0.3193
0.2151;0.3178
0.2207;0.3164
0.2264;0.3149
0.232;0.3134
0.2377;0.3118
0.2433;0.3102
0.249;0.3086
0.2547;0.307
0.2605;0.3053
0.2662;0.3036
0.2719;0.3019
0.2777;0.3002
0.2835;0.2984
0.2893;0.2967
0.2951;0.2948
0.3009;0.293
0.3068;0.2912
0.3127;0.2893
0.3186;0.2874
0.3245;0.2855
0.3304;0.2835
0.3364;0.2816
0.3423;0.2796
0.3483;0.2776
0.3544;0.2756
0.3604;0.2735
0.3665;0.2715
0.3726;0.2694
0.3787;0.2673
0.3848;0.2652
0.391;0.2631
0.3971;0.261
0.4034;0.2588
0.4096;0.2567
0.4159;0.2545
0.4221;0.2523
0.4285;0.2501
0.4348;0.2479
0.4412;0.2457
0.4476;0.2435
0.454;0.2412
0.4605;0.239
0.467;0.2367
0.4735;0.2345
0.48;0.2322
0.4866;0.2299
0.4932;0.2277
0.4999;0.2254
0.5066;0.2231
0.5133;0.2208
0.5201;0.2185
0.5269;0.2162
0.5337;0.2139
0.5405;0.2116
0.5474;0.2092
0.5544;0.2069
0.5614;0.2046
0.5684;0.2023
0.5755;0.2
0.5826;0.1977
0.5897;0.1953
0.5969;0.193
0.6041;0.1907
0.6114;0.1884
0.6187;0.1861
0.6261;0.1838
0.6335;0.1815
0.6409;0.1792
0.6485;0.1769
0.656;0.1746
0.6636;0.1723
0.6713;0.17
0.679;0.1678
0.6867;0.1655
0.6946;0.1632
0.7024;0.161
0.7103;0.1587
0.7183;0.1565
0.7264;0.1542
0.7345;0.152
0.7426;0.1498
0.7508;0.1476
0.7591;0.1454
0.7675;0.1432
0.7759;0.141
0.7843;0.1388
0.7929;0.1367
0.8015;0.1345
0.8101;0.1324
0.8189;0.1303
0.8277;0.1282
0.8366;0.1261
0.8455;0.124
0.8546;0.1219
0.8637;0.1198
0.8729;0.1178
0.8822;0.1157
0.8915;0.1137
0.901;0.1117
0.9105;0.1097
0.9201;0.1077
0.9298;0.1057
0.9396;0.1038
0.9495;0.1018
0.9595;0.09991
0.9696;0.09799
0.9797;0.0961
0.99;0.09422
1;0.09235
1.011;0.0905
1.021;0.08867
1.032;0.08685
1.043;0.08505
1.054;0.08326
1.065;0.0815
1.076;0.07974
1.087;0.07801
1.099;0.07629
1.11;0.07459
1.122;0.07291
1.134;0.07124
1.146;0.06959
1.158;0.06796
1.17;0.06635
1.183;0.06476
1.195;0.06318
1.208;0.06162
1.221;0.06008
1.234;0.05856
1.247;0.05705
1.26;0.05557
1.274;0.0541
1.288;0.05265
1.301;0.05122
1.316;0.04981
1.33;0.04842
1.344;0.04704
1.359;0.04569
1.374;0.04435
1.389;0.04304
1.405;0.04174
1.42;0.04046
1.436;0.0392
1.452;0.03796
1.469;0.03674
1.486;0.03554
1.503;0.03436
1.52;0.0332
1.537;0.03206
1.555;0.03093
1.574;0.02983
1.592;0.02875
1.611;0.02768
1.63;0.02664
1.65;0.02561
1.67;0.02461
1.691;0.02362
1.711;0.02266
1.733;0.02171
1.755;0.02079
1.777;0.01988
1.8;0.019
1.823;0.01813
1.847;0.01729
1.871;0.01646
1.897;0.01566
1.922;0.01487
1.949;0.0141
1.976;0.01336
2.004;0.01263
2.033;0.01193
2.062;0.01124
2.093;0.01058
2.124;0.009933
2.157;0.009308
2.19;0.008703
2.225;0.008118
2.261;0.007553
2.299;0.007009
2.338;0.006484
2.378;0.00598
2.42;0.005496
2.464;0.005032
2.51;0.004589
2.559;0.004165
2.61;0.003762
2.663;0.003379
2.72;0.003017
2.78;0.002674
2.845;0.002352
2.913;0.002051
2.987;0.001769
3.067;0.001508
3.154;0.001268
3.249;0.001048
3.355;0.0008481
3.473;0.000669
3.608;0.0005106
3.766;0.0003728
3.954;0.0002558
4.189;0.0001598
4.504;8.512E-5
4.991;3.211E-5
