r;Vfi
0.002681;0.02474
0.008045;0.07105
0.01341;0.1201
0.01877;0.1674
0.02414;0.2134
0.02951;0.2588
0.03487;0.3022
0.04025;0.3453
0.04562;0.3877
0.051;0.428
0.05637;0.466
0.06176;0.5032
0.06714;0.5397
0.07253;0.574
0.07793;0.6063
0.08333;0.6373
0.08873;0.6677
0.09414;0.6967
0.09955;0.7243
0.105;0.7499
0.1104;0.7749
0.1158;0.7989
0.1213;0.822
0.1267;0.844
0.1322;0.8652
0.1376;0.8853
0.1431;0.9047
0.1486;0.9232
0.1541;0.9411
0.1596;0.9581
0.1651;0.9746
0.1706;0.9904
0.1761;1.006
0.1817;1.021
0.1872;1.035
0.1928;1.049
0.1983;1.062
0.2039;1.075
0.2095;1.087
0.2151;1.1
0.2207;1.112
0.2264;1.123
0.232;1.134
0.2377;1.145
0.2433;1.155
0.249;1.166
0.2547;1.176
0.2605;1.186
0.2662;1.195
0.2719;1.204
0.2777;1.213
0.2835;1.222
0.2893;1.231
0.2951;1.239
0.3009;1.248
0.3068;1.256
0.3127;1.264
0.3186;1.272
0.3245;1.279
0.3304;1.287
0.3364;1.294
0.3423;1.301
0.3483;1.308
0.3544;1.315
0.3604;1.322
0.3665;1.329
0.3726;1.335
0.3787;1.342
0.3848;1.348
0.391;1.355
0.3971;1.361
0.4034;1.367
0.4096;1.373
0.4159;1.379
0.4221;1.385
0.4285;1.39
0.4348;1.396
0.4412;1.401
0.4476;1.407
0.454;1.412
0.4605;1.418
0.467;1.423
0.4735;1.428
0.48;1.433
0.4866;1.438
0.4932;1.443
0.4999;1.448
0.5066;1.453
0.5133;1.458
0.5201;1.463
0.5269;1.467
0.5337;1.472
0.5405;1.476
0.5474;1.481
0.5544;1.485
0.5614;1.489
0.5684;1.494
0.5755;1.498
0.5826;1.502
0.5897;1.506
0.5969;1.51
0.6041;1.514
0.6114;1.518
0.6187;1.522
0.6261;1.526
0.6335;1.53
0.6409;1.533
0.6485;1.537
0.656;1.54
0.6636;1.544
0.6713;1.547
0.679;1.551
0.6867;1.554
0.6946;1.558
0.7024;1.561
0.7103;1.564
0.7183;1.567
0.7264;1.57
0.7345;1.573
0.7426;1.576
0.7508;1.579
0.7591;1.582
0.7675;1.585
0.7759;1.588
0.7843;1.591
0.7929;1.593
0.8015;1.596
0.8101;1.598
0.8189;1.601
0.8277;1.603
0.8366;1.606
0.8455;1.608
0.8546;1.61
0.8637;1.613
0.8729;1.615
0.8822;1.617
0.8915;1.619
0.901;1.621
0.9105;1.623
0.9201;1.626
0.9298;1.627
0.9396;1.628
0.9495;1.632
0.9595;1.633
0.9696;1.634
0.9797;1.636
0.99;1.639
1;1.639
1.011;1.641
1.021;1.642
1.032;1.644
1.043;1.645
1.054;1.647
1.065;1.649
1.076;1.648
1.087;1.65
1.099;1.652
1.11;1.652
1.122;1.654
1.134;1.655
1.146;1.655
1.158;1.657
1.17;1.657
1.183;1.658
1.195;1.659
1.208;1.659
1.221;1.66
1.234;1.661
1.247;1.661
1.26;1.662
1.274;1.662
1.288;1.663
1.301;1.663
1.316;1.663
1.33;1.664
1.344;1.664
1.359;1.664
1.374;1.664
1.389;1.664
1.405;1.664
1.42;1.664
1.436;1.664
1.452;1.664
1.469;1.663
1.486;1.663
1.503;1.662
1.52;1.662
1.537;1.662
1.555;1.661
1.574;1.661
1.592;1.66
1.611;1.659
1.63;1.659
1.65;1.658
1.67;1.657
1.691;1.656
1.711;1.655
1.733;1.654
1.755;1.653
1.777;1.652
1.8;1.651
1.823;1.649
1.847;1.648
1.871;1.647
1.897;1.645
1.922;1.644
1.949;1.642
1.976;1.641
2.004;1.639
2.033;1.637
2.062;1.635
2.093;1.633
2.124;1.631
2.157;1.629
2.19;1.627
2.225;1.625
2.261;1.623
2.299;1.621
2.338;1.618
2.378;1.616
2.42;1.614
2.464;1.611
2.51;1.608
2.559;1.605
2.61;1.603
2.663;1.6
2.72;1.597
2.78;1.593
2.845;1.59
2.913;1.586
2.987;1.583
3.067;1.579
3.154;1.575
3.249;1.571
3.355;1.566
3.473;1.562
3.608;1.555
3.766;1.548
3.954;1.541
4.189;1.535
4.504;1.523
4.991;1.518
