r;lambda
0.002681;0.02033
0.008045;0.02225
0.01341;0.02125
0.01877;0.0218
0.02414;0.02235
0.02951;0.02291
0.03487;0.02365
0.04025;0.02411
0.04562;0.02481
0.051;0.02595
0.05637;0.02705
0.06176;0.02788
0.06714;0.02893
0.07253;0.03044
0.07793;0.03194
0.08333;0.03321
0.08873;0.0345
0.09414;0.03608
0.09955;0.03793
0.105;0.03981
0.1104;0.0414
0.1158;0.04315
0.1213;0.04506
0.1267;0.047
0.1322;0.04903
0.1376;0.05114
0.1431;0.05327
0.1486;0.05551
0.1541;0.05777
0.1596;0.06004
0.1651;0.06236
0.1706;0.06464
0.1761;0.06698
0.1817;0.06944
0.1872;0.07185
0.1928;0.07455
0.1983;0.07726
0.2039;0.07975
0.2095;0.08183
0.2151;0.08428
0.2207;0.08739
0.2264;0.0905
0.232;0.0929
0.2377;0.09509
0.2433;0.09774
0.249;0.1006
0.2547;0.1034
0.2605;0.106
0.2662;0.1091
0.2719;0.1124
0.2777;0.1148
0.2835;0.1168
0.2893;0.1197
0.2951;0.1232
0.3009;0.1262
0.3068;0.1282
0.3127;0.1307
0.3186;0.1343
0.3245;0.1372
0.3304;0.1396
0.3364;0.1427
0.3423;0.1454
0.3483;0.1479
0.3544;0.1509
0.3604;0.1541
0.3665;0.1573
0.3726;0.1594
0.3787;0.1611
0.3848;0.1637
0.391;0.1674
0.3971;0.1712
0.4034;0.1732
0.4096;0.1747
0.4159;0.1776
0.4221;0.1811
0.4285;0.1844
0.4348;0.1868
0.4412;0.1889
0.4476;0.1911
0.454;0.1944
0.4605;0.198
0.467;0.199
0.4735;0.2016
0.48;0.2047
0.4866;0.2062
0.4932;0.2083
0.4999;0.2108
0.5066;0.2145
0.5133;0.2167
0.5201;0.2187
0.5269;0.2213
0.5337;0.2234
0.5405;0.2267
0.5474;0.2287
0.5544;0.2304
0.5614;0.233
0.5684;0.2352
0.5755;0.2373
0.5826;0.2391
0.5897;0.2421
0.5969;0.245
0.6041;0.2463
0.6114;0.2481
0.6187;0.2504
0.6261;0.2515
0.6335;0.2537
0.6409;0.2567
0.6485;0.2586
0.656;0.2609
0.6636;0.2633
0.6713;0.2644
0.679;0.2657
0.6867;0.2677
0.6946;0.2692
0.7024;0.2712
0.7103;0.2744
0.7183;0.277
0.7264;0.278
0.7345;0.279
0.7426;0.2797
0.7508;0.2809
0.7591;0.2825
0.7675;0.2845
0.7759;0.2863
0.7843;0.2888
0.7929;0.2901
0.8015;0.2908
0.8101;0.2918
0.8189;0.293
0.8277;0.2942
0.8366;0.2958
0.8455;0.2988
0.8546;0.3
0.8637;0.298
0.8729;0.2981
0.8822;0.3023
0.8915;0.3058
0.901;0.3113
0.9105;0.2993
0.9201;0.2987
0.9298;0.3186
0.9396;0.3017
0.9495;0.3007
0.9595;0.3223
0.9696;0.3118
0.9797;0.2975
0.99;0.3143
1;0.3167
1.011;0.3055
1.021;0.3124
1.032;0.3118
1.043;0.3126
1.054;0.3081
1.065;0.3188
1.076;0.3194
1.087;0.3011
1.099;0.3196
1.11;0.3147
1.122;0.3057
1.134;0.3233
1.146;0.3053
1.158;0.3062
1.17;0.3187
1.183;0.3116
1.195;0.3121
1.208;0.3107
1.221;0.308
1.234;0.308
1.247;0.3081
1.26;0.3074
1.274;0.3076
1.288;0.3068
1.301;0.3042
1.316;0.3016
1.33;0.3009
1.344;0.2998
1.359;0.2991
1.374;0.2987
1.389;0.2971
1.405;0.2941
1.42;0.2917
1.436;0.2908
1.452;0.2896
1.469;0.2877
1.486;0.286
1.503;0.2841
1.52;0.2807
1.537;0.2765
1.555;0.2734
1.574;0.2718
1.592;0.2711
1.611;0.2683
1.63;0.2633
1.65;0.2593
1.67;0.257
1.691;0.2557
1.711;0.2533
1.733;0.2471
1.755;0.2418
1.777;0.2411
1.8;0.2391
1.823;0.2337
1.847;0.2278
1.871;0.2224
1.897;0.2188
1.922;0.2157
1.949;0.2118
1.976;0.2069
2.004;0.2011
2.033;0.1956
2.062;0.1914
2.093;0.1868
2.124;0.1809
2.157;0.1748
2.19;0.1688
2.225;0.1634
2.261;0.158
2.299;0.1526
2.338;0.1468
2.378;0.14
2.42;0.1333
2.464;0.1275
2.51;0.1215
2.559;0.1148
2.61;0.1082
2.663;0.1017
2.72;0.0949
2.78;0.08834
2.845;0.08199
2.913;0.07519
2.987;0.06828
3.067;0.06178
3.154;0.05516
3.249;0.0484
3.355;0.04189
3.473;0.03597
3.608;0.03025
3.766;0.02406
3.954;0.01787
4.189;0.01263
4.504;0.00759
4.991;0.003016
